"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","100n","C_0402_1005Metric",166.500000,-97.750000,90.000000,top
"C2","100n","C_0402_1005Metric",153.500000,-97.750000,90.000000,top
"C3","100n","C_0402_1005Metric",179.500000,-97.750000,90.000000,top
"C4","100n","C_0402_1005Metric",137.000000,-95.250000,180.000000,top
"C5","100n","C_0402_1005Metric",143.250000,-95.250000,180.000000,top
"C6","100n","C_0402_1005Metric",130.750000,-95.250000,180.000000,top
"C7","100n","C_0402_1005Metric",124.500000,-95.250000,180.000000,top
"C8","10u 25V","C_0805_2012Metric",140.500000,-107.250000,180.000000,top
"C9","100n 50V","C_0603_1608Metric",140.250000,-100.750000,270.000000,top
"C10","100n 50V","C_0603_1608Metric",138.000000,-107.750000,270.000000,top
"C11","100n 50V","C_0603_1608Metric",119.250000,-77.000000,90.000000,top
"C12","100n 50V","C_0603_1608Metric",125.250000,-77.000000,90.000000,top
"C13","100n 50V","C_0603_1608Metric",131.500000,-77.000000,90.000000,top
"C14","100n","C_0402_1005Metric",118.250000,-95.250000,180.000000,top
"C15","10u 25V","C_0805_2012Metric",136.500000,-101.250000,270.000000,top
"C16","10u 25V","C_0805_2012Metric",134.500000,-101.250000,270.000000,top
"C17","10u 50V","C_1206_3216Metric",142.250000,-113.500000,180.000000,top
"C18","100n","C_0402_1005Metric",157.000000,-112.000000,90.000000,top
"C19","1n","C_0402_1005Metric",159.750000,-116.750000,0.000000,top
"C20","100n","C_0402_1005Metric",164.000000,-103.000000,270.000000,top
"C21","10u 25V","C_0805_2012Metric",127.750000,-107.250000,180.000000,top
"C22","100n 50V","C_0603_1608Metric",137.500000,-76.500000,0.000000,top
"C23","100n 50V","C_0603_1608Metric",145.750000,-77.500000,0.000000,top
"C24","100n 50V","C_0603_1608Metric",156.501100,-92.000000,270.000000,top
"C25","100n 50V","C_0603_1608Metric",169.500000,-92.000000,270.000000,top
"C26","100n 50V","C_0603_1608Metric",182.500000,-91.975000,270.000000,top
"C27","100n 50V","C_0603_1608Metric",127.500000,-100.750000,270.000000,top
"C28","100n 50V","C_0603_1608Metric",125.250000,-107.750000,270.000000,top
"C29","10u 25V","C_0805_2012Metric",121.750000,-101.250000,270.000000,top
"C30","10u 25V","C_0805_2012Metric",123.750000,-101.250000,270.000000,top
"C31","10u 50V","C_1206_3216Metric",115.750000,-108.000000,0.000000,top
"C32","10u 50V","C_1206_3216Metric",142.250000,-111.000000,180.000000,top
"C33","10u 25V","C_0805_2012Metric",184.250000,-98.250000,180.000000,top
"C34","100n","C_0402_1005Metric",154.500000,-107.750000,90.000000,top
"D1","SS34","D_SMA",138.750000,-118.750000,90.000000,top
"D2","SS34","D_SMA",142.750000,-118.750000,90.000000,top
"IC4","ULN2003AD","TSSOP-16_4.4x5mm_P0.65mm",122.750000,-82.500000,0.000000,top
"IC6","ULN2003AD","TSSOP-16_4.4x5mm_P0.65mm",116.500000,-82.500000,0.000000,top
"IC7","74595D","TSSOP-16_4.4x5mm_P0.65mm",122.750000,-90.750000,180.000000,top
"IC8","ULN2003AD","TSSOP-16_4.4x5mm_P0.65mm",141.500000,-82.500000,0.000000,top
"IC9","ULN2003AD","TSSOP-16_4.4x5mm_P0.65mm",135.250000,-82.500000,0.000000,top
"IC10","ULN2003AD","TSSOP-16_4.4x5mm_P0.65mm",129.000000,-82.500000,0.000000,top
"IC11","74595D","TSSOP-16_4.4x5mm_P0.65mm",116.500000,-90.750000,180.000000,top
"IC12","UDN298LW","SOIC-18W_7.5x11.6mm_P1.27mm",177.501100,-84.503600,90.000000,top
"IC13","UDN298LW","SOIC-18W_7.5x11.6mm_P1.27mm",164.501100,-84.503600,90.000000,top
"IC14","UDN298LW","SOIC-18W_7.5x11.6mm_P1.27mm",151.501100,-84.503600,90.000000,top
"IC16","74595D","TSSOP-16_4.4x5mm_P0.65mm",135.250000,-90.750000,180.000000,top
"IC17","74595D","TSSOP-16_4.4x5mm_P0.65mm",141.500000,-90.750000,180.000000,top
"IC18","74595D","TSSOP-16_4.4x5mm_P0.65mm",129.000000,-90.750000,180.000000,top
"IC20","74595D","TSSOP-16_4.4x5mm_P0.65mm",176.000000,-94.750000,180.000000,top
"IC21","74595D","TSSOP-16_4.4x5mm_P0.65mm",163.000000,-94.750000,180.000000,top
"IC22","74595D","TSSOP-16_4.4x5mm_P0.65mm",150.000000,-94.750000,180.000000,top
"J1","USB_C","USB_C_Receptacle_HRO_TYPE-C-31-M-12",152.000000,-121.000000,0.000000,top
"L1","4u7","L_1210_3225Metric",135.500000,-105.500000,90.000000,top
"L2","4u7","L_1210_3225Metric",122.750000,-105.500000,90.000000,top
"LED1","LED","LED_0603_1608Metric",165.250000,-121.750000,90.000000,top
"LED2","LED","LED_0603_1608Metric",163.500000,-121.750000,90.000000,top
"Q1","UMH3N","SOT-363_SC-70-6",160.250000,-103.500000,180.000000,top
"R1","DNP","R_0402_1005Metric",149.500000,-113.000000,90.000000,top
"R2","DNP","R_0402_1005Metric",154.500000,-113.000000,270.000000,top
"R3","100k","R_0402_1005Metric",138.500000,-101.750000,180.000000,top
"R4","3k3","R_0402_1005Metric",151.250000,-105.240000,270.000000,top
"R5","3k3","R_0402_1005Metric",150.000000,-105.250000,90.000000,top
"R6","0R","R_0402_1005Metric",149.500000,-111.000000,90.000000,top
"R7","0R","R_0402_1005Metric",154.500000,-111.000000,90.000000,top
"R8","100k","R_0402_1005Metric",142.000000,-101.750000,270.000000,top
"R9","22k","R_0402_1005Metric",142.500000,-103.250000,0.000000,top
"R10","1k","R_0402_1005Metric",159.500000,-114.250000,270.000000,top
"R11","1k","R_0402_1005Metric",158.250000,-106.250000,270.000000,top
"R12","1k","R_0402_1005Metric",162.000000,-106.250000,270.000000,top
"R13","10k","R_0402_1005Metric",160.750000,-114.250000,90.000000,top
"R14","10k","R_0402_1005Metric",182.000000,-95.250000,90.000000,top
"R15","10k","R_0402_1005Metric",180.750000,-95.250000,90.000000,top
"R16","470R","R_0402_1005Metric",161.750000,-116.750000,0.000000,top
"R17","3k3","R_0402_1005Metric",164.750000,-119.000000,90.000000,top
"R18","3k3","R_0402_1005Metric",163.500000,-119.000000,90.000000,top
"R19","10k","R_0402_1005Metric",162.250000,-115.000000,270.000000,top
"R20","10k","R_0402_1005Metric",162.750000,-103.000000,270.000000,top
"R21","100k","R_0402_1005Metric",125.750000,-101.750000,180.000000,top
"R22","110k","R_0402_1005Metric",129.250000,-101.750000,270.000000,top
"R23","15k","R_0402_1005Metric",129.750000,-103.250000,0.000000,top
"R24","1k","R_0402_1005Metric",111.250000,-97.250000,180.000000,top
"R25","1k","R_0402_1005Metric",113.500000,-97.250000,0.000000,top
"R26","10k","R_0402_1005Metric",117.250000,-97.250000,0.000000,top
"R27","470R","R_0402_1005Metric",160.750000,-106.250000,270.000000,top
"R28","470R","R_0402_1005Metric",159.500000,-106.250000,90.000000,top
"SW1","SW_Push","SW_SPST_PTS810",160.750000,-120.500000,90.000000,top
"U1","ESP32-WROOM-32D","ESP32-WROOM-32",177.000000,-110.000000,270.000000,top
"U2","FUSB302BMPX","WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm",152.000000,-108.750000,180.000000,top
"U3","USBLC6-4SC6","SOT-23-6",152.000000,-113.000000,90.000000,top
"U4","SY8201","SOT-23-6",139.500000,-104.250000,0.000000,top
"U5","CP2104","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",160.250000,-110.250000,270.000000,top
"U6","SY8201","SOT-23-6",126.750000,-104.250000,0.000000,top
"U7","BSP742R","SOIC-8_3.9x4.9mm_P1.27mm",116.000000,-102.500000,180.000000,top
